song_id,artist_id,artist_name,album_id,album_name,ContentLanguage,IsExplicit,ReleaseDate,isrc,song_name,label,owner,albumArtist,Genre_,year,month,day,song_age,is_duplicate_of_title
169594762,237826,palace,169594754,shoals,eng,FALSE,1/21/2022,GBUM72105766,where sky becomes sea,fiction,universal,palace,alternative,2022,1,21,3,FALSE
169678466,19883,don omar,169678444,vibras regetoneras,spa,FALSE,1/21/2022,USUM70621260,ayer la vi,ume - global clearing house,universal,various artists,"latin, south america",2022,1,21,3,FALSE
169678445,19883,don omar,169678444,vibras regetoneras,spa,FALSE,1/21/2022,USUM70959802,virtual diva,ume - global clearing house,universal,various artists,"latin, south america",2022,1,21,3,TRUE
169594286,43698,ludovico einaudi,169594277,underwater,ara,FALSE,1/21/2022,ITB282100020,wind song,decca (umo) (classics),universal,ludovico einaudi,classical,2022,1,21,3,FALSE
169192172,6103090,owaru,169192169,owaru plays music from studio ghibli,eng,FALSE,1/21/2022,FR7Z26500142,howl's moving castle main theme,owaru,orchard,owaru,classical,2022,1,21,3,FALSE
169810388,6151357,abdelbaset hamooda,169810387,fi 7eta tanya,ara,FALSE,1/21/2022,AEA102100068,fi 7eta tanya,sony music entertainment,sony,abd el basset hamouda,"mena, pop, world",2022,1,21,3,FALSE
193677355,3851957,batistuta,193677354,el ma’amour,ara,FALSE,1/19/2022,EGA072200057,el ma’amour,mazzika,mazzika,batistuta,"mena, world",2022,1,19,3,FALSE
192402925,368875,brigitte yaghi,192402924,kan bainna ketir,ara,FALSE,1/19/2022,EGA0S1923081,kan bainna ketir,i-media,imedia,brigitte yaghi,pop,2022,1,19,3,FALSE
259627703,2581326,omar kamal,259627701,bahebek,ara,FALSE,1/18/2022,EGA252200707,bahebek,takwene,takwene,omar kamal,pop,2022,1,18,3,FALSE
192461995,7081,baba,192461994,lyly,ara,FALSE,1/18/2022,EGA072200065,lyly,mazzika,mazzika,baba,"mena, world",2022,1,18,3,FALSE
192413231,1067373,moustafa amar,192413230,eyon mashalla,ara,FALSE,1/17/2022,97856070,eyon mashalla,ivas,ivas,moustafa amar,pop,2022,1,17,3,FALSE
193623351,7174035,hamo al tekha,193623350,telphone llsoual,ara,FALSE,1/16/2022,EGA252200232,telphone llsoual,takwene,takwene,hamo al tekha,pop,2022,1,16,3,FALSE
169247113,51006,nancy ajram,169247099,arab hits,ara,FALSE,1/14/2022,AEAB20400168,inta eyh,ume - global clearing house,universal,various artists,world,2022,1,14,3,TRUE
169247116,51006,nancy ajram,169247099,arab hits,ara,FALSE,1/14/2022,AEAB20200415,yay,ume - global clearing house,universal,various artists,world,2022,1,14,3,TRUE
193677144,5857533,abo el anwar,193677141,el 5anka,ara,FALSE,1/13/2022,EGA010551801,el 5anka,mazzika,mazzika,abo el anwar,"mena, world",2022,1,13,3,FALSE
169129446,19883,don omar,169129419,ta picúa,spa,FALSE,1/12/2022,USUM70951394,virtual diva,ume - global clearing house,universal,various artists,"latin, south america",2022,1,12,3,TRUE
169129420,19883,don omar,169129419,ta picúa,spa,FALSE,1/12/2022,USUM71411582,guaya guaya,ume - global clearing house,universal,various artists,"latin, south america",2022,1,12,3,TRUE
169129424,19883,don omar,169129419,ta picúa,spa,FALSE,1/12/2022,USUL10401651,dile,ume - global clearing house,universal,various artists,"latin, south america",2022,1,12,3,TRUE
193622480,7174035,hamo al tekha,193622479,elhaal mn halo,ara,FALSE,1/11/2022,EGA252200234,elhaal mn halo,takwene,takwene,hamo al tekha,pop,2022,1,11,3,FALSE
167002505,591148,eve st. jones,167002504,french café,eng,FALSE,1/7/2022,ARF412200001,break my heart,music brokers,orchard,eve st. jones,jazz,2022,1,7,3,FALSE
193622556,1640672,honzo,193622555,shtaa,ara,FALSE,1/7/2022,QZFYX2202522,shtaa,takwene,takwene,honzo,hip hop/rap,2022,1,7,3,FALSE
193657059,4728036,marwan moussa,193657058,ested3a2 waly 2mr,ara,FALSE,1/6/2022,EGA072200021,ested3a2 waly 2mr,mazzika,mazzika,marwan moussa,"mena, world",2022,1,6,3,FALSE
265479160,5261730,dzel uzi,265479159,al jazeera 3,ara,FALSE,1/6/2022,EGA252200138,al jazeera 3,wks ltd,wks ltd,dzel uzi,"arabic hip hop, egyptian rap",2022,1,6,3,FALSE
168855644,19883,don omar,168855617,reguetón antes y ahora,spa,FALSE,1/5/2022,USUM71609763,not to much (remastered 2016) [feat. zion],ume - global clearing house,universal,various artists,"latin, south america",2022,1,5,3,FALSE
193677408,4728036,marwan moussa,193677407,skhent gamed,ara,FALSE,1/5/2022,EGA072200002,skhent gamed,mazzika,mazzika,marwan moussa,"mena, world",2022,1,5,3,FALSE
168942677,4059438,ahmed figo,168942676,زيطا,ara,FALSE,1/4/2022,QM4TW2206890,زيطا [feat. sadat],sharqi production,orchard,ahmed figo,world,2022,1,4,3,FALSE
192352746,5545393,akram hosny,192352745,seto ana (feat. ayten amer),ara,FALSE,1/4/2022,100702851,seto ana (feat. ayten amer),arpu plus,arpu plus,akram hosny,pop,2022,1,4,3,FALSE
193622126,4417232,shahyn,193622125,bekh,ara,FALSE,1/3/2022,EGA252101433,bekh,takwene,takwene,shahyn,pop,2022,1,3,3,FALSE
192530557,1639817,nabil,192530556,el nas el ghalyeen,ara,FALSE,1/3/2022,EGA1K2200397,el nas el ghalyeen,arpu plus,arpu plus,nabil,"mena, world",2022,1,3,3,FALSE
193531840,18402,diana haddad,193531839,sayed el hamga,ara,FALSE,1/1/2022,LBA082200075,sayed el hamga,arpu plus,arpu plus,diana haddad,genre not found,2022,1,1,3,FALSE
168815220,6099568,mehmet gürbüz,168815215,bir tek anan aglar sana,tur,FALSE,1/1/2022,QMFMF2144699,aramam seni,orchard,orchard,mehmet gürbüz,arabesk,2022,1,1,3,FALSE
192383769,389865,fadl shaker,192383768,al azeez,ara,FALSE,1/1/2022,106918749,al azeez,arpu plus,arpu plus,fadl shaker,"mena, world",2022,1,1,3,FALSE
260422111,6836191,"magdy shata, طارق الطوخى",260422110,as7aby mbatsh btadr,ara,FALSE,12/31/2021,QM4TW2296383,as7aby mbatsh btadr,takwene,takwene,"magdy shata, طارق الطوخى",pop,2021,12,31,4,FALSE
192487392,724776,hussain al jassmi,192487391,ma b7ebak,ara,FALSE,12/30/2021,97449114,ma b7ebak,qanawat egypt,qanawat egypt,hussain al jassmi,pop,2021,12,30,4,FALSE
169074839,6085266,الشيخ سالم عبد الجليل,169074830,العقيدة,ara,FALSE,12/30/2021,QMFMF2142928,القرآن الكريم متواتر,injaz digital,orchard,الشيخ سالم عبد الجليل,spoken word,2021,12,30,4,FALSE
260535216,4735914,dj totti,260535215,a7zany,eng,FALSE,12/28/2021,EGA252108115,a7zany,takwene,takwene,dj totti,instrumental,2021,12,28,4,FALSE
169119033,5857533,abo el anwar,169119032,3andi kteer,ara,FALSE,12/28/2021,AEA752100085,3andi kteer,platinum records,warner,abo el anwar,world,2021,12,28,4,FALSE
193622413,2581326,omar kamal,193622412,anti albi,ara,FALSE,12/27/2021,EGA252107439,anti albi,takwene,takwene,omar kamal,"romantic, party",2021,12,27,4,FALSE
192462125,7171605,muslim - مُسلِم,192462124,mesh nadman,ara,FALSE,12/27/2021,EGA010551374,mesh nadman,mazzika,mazzika,muslim - مُسلِم,pop,2021,12,27,4,FALSE
168707505,3891525,mohamed sultan,168707504,براند اصول يا خال,ara,FALSE,12/27/2021,QMFMF2138375,براند اصول يا خال,sharqi production,orchard,mohamed sultan,world,2021,12,27,4,FALSE
192355552,745381,tamer ashour,192355542,tegy ntrahn,ara,FALSE,12/26/2021,EGA1K2200058,kont fien,arpu plus,arpu plus,tamer ashour,"mena, world",2021,12,26,4,FALSE
192355548,745381,tamer ashour,192355542,tegy ntrahn,ara,FALSE,12/26/2021,EGA1K2200055,kan mawdoa,arpu plus,arpu plus,tamer ashour,"mena, world",2021,12,26,4,FALSE
192355549,745381,tamer ashour,192355542,tegy ntrahn,ara,FALSE,12/26/2021,EGA1K2200056,el fatra di,arpu plus,arpu plus,tamer ashour,"mena, world",2021,12,26,4,FALSE
192355545,745381,tamer ashour,192355542,tegy ntrahn,ara,FALSE,12/26/2021,EGA1K2200052,khaleny fe hodnak,arpu plus,arpu plus,tamer ashour,romantic,2021,12,26,4,FALSE
192355546,745381,tamer ashour,192355542,tegy ntrahn,ara,FALSE,12/26/2021,EGA1K2200053,khaletny ahes,arpu plus,arpu plus,tamer ashour,"mena, world",2021,12,26,4,FALSE
192355543,745381,tamer ashour,192355542,tegy ntrahn,ara,FALSE,12/26/2021,EGA1K2200050,ehna eldonia,arpu plus,arpu plus,tamer ashour,"mena, world",2021,12,26,4,FALSE
